tt0454848 {'critics_score': 86, 'audience_score': 81} 
tt0465142 {'critics_score': 41, 'audience_score': 33} 
tt0381971 {'critics_score': 69, 'audience_score': 65} 
tt0408306 {'critics_score': 78, 'audience_score': 78} 
tt0395251 {'critics_score': 51, 'audience_score': 63} 
tt0360717 {'critics_score': 84, 'audience_score': 52} 
tt0418763 {'critics_score': 61, 'audience_score': 68} 
tt0436058 {'critics_score': 20, 'audience_score': 66} 
tt0396752 {'critics_score': 73, 'audience_score': 63} 
tt0417217 {'critics_score': 21, 'audience_score': 50} 
tt0379786 {'critics_score': 82, 'audience_score': 89} 
tt0405422 {'critics_score': 85, 'audience_score': 81} 
tt0397101 {'critics_score': 37, 'audience_score': 63} 
tt0414387 {'critics_score': 85, 'audience_score': 88} 
tt0418819 {'critics_score': 74, 'audience_score': 56} 
tt0380623 {'critics_score': 5, 'audience_score': 69} 
tt0435687 {'critics_score': 83, 'audience_score': 55} 
tt0352248 {'critics_score': 80, 'audience_score': 88} 
tt0384642 {'critics_score': 42, 'audience_score': 49} 
tt0373926 {'critics_score': 57, 'audience_score': 55} 
tt0375210 {'critics_score': 9, 'audience_score': 44} 
tt0290002 {'critics_score': 38, 'audience_score': 63} 
tt0385267 {'critics_score': 83, 'audience_score': 51} 
tt0317198 {'critics_score': 27, 'audience_score': 64} 
tt0390022 {'critics_score': 81, 'audience_score': 84} 
tt0360201 {'critics_score': 61, 'audience_score': 56} 
tt0350258 {'critics_score': 81, 'audience_score': 87} 
tt0372183 {'critics_score': 81, 'audience_score': 89} 
tt0407658 {'critics_score': -1, 'audience_score': 62} 
tt0296572 {'critics_score': 29, 'audience_score': 73} 
tt0338526 {'critics_score': -1, 'audience_score': 0} 
tt0330111 {'critics_score': 0, 'audience_score': 54} 
tt0406310 {'critics_score': -1, 'audience_score': 71} 
tt0345074 {'critics_score': 44, 'audience_score': 65} 
tt0365748 {'critics_score': 91, 'audience_score': 91} 
tt0334965 {'critics_score': -1, 'audience_score': 55} 
tt0343135 {'critics_score': 26, 'audience_score': 54} 
tt0316396 {'critics_score': 77, 'audience_score': 68} 
tt0322589 {'critics_score': 20, 'audience_score': 76} 
tt0311113 {'critics_score': 85, 'audience_score': 75} 
tt0312528 {'critics_score': 10, 'audience_score': 41} 
tt0327850 {'critics_score': 71, 'audience_score': 72} 
tt0314331 {'critics_score': 63, 'audience_score': 71} 
tt0138524 {'critics_score': 75, 'audience_score': 44} 
tt0328828 {'critics_score': 55, 'audience_score': 72} 
tt0329575 {'critics_score': 77, 'audience_score': 74} 
tt0286716 {'critics_score': 62, 'audience_score': 34} 
tt0322259 {'critics_score': 36, 'audience_score': 59} 
tt0315327 {'critics_score': 48, 'audience_score': 61} 
tt0360985 {'critics_score': -1, 'audience_score': 73} 
tt0274166 {'critics_score': 33, 'audience_score': 54} 
tt0355315 {'critics_score': -1, 'audience_score': 60} 
